"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level"
"357",357,"L",4658,1660,9903,3630,46.3,70,74.4,25.9,5.2,18.8,5.6,3.5,4.6,47,52,47.1,16.8,0.356376127093173,"Remain",40.3,37,33.2,41.9,13.9
"362",362,"EE",3607,905,9165,3438,45.5,81.7,63.8,31.1,16.1,17.8,17,1.7,2.6,61.1,20.8,45.9,13.1,0.250901025783199,"Remain",41.6,39.1,20.6,54,10
"363",363,"EE",3446,1396,8817,3691,47.3,78.8,58.5,23.7,22.7,17.4,4.9,3.3,4.4,42.3,24.5,54.8,22.4,0.405107370864771,"Remain",39.7,39.2,24.9,37.8,19.2
"364",364,"L",7204,2674,16545,6080,45.8,37.7,59.9,21.5,12.2,25.4,7.4,5.4,7.6,35.7,67.4,60.4,25,0.371182676290949,"Remain",38.9,37.6,78.9,34.1,16.2
"368",368,"L",5173,1373,10366,4587,40.4,73.4,47.8,16.7,13.6,37.4,5.4,3.2,4,58.6,76.3,47.2,18.3,0.26541658612024,"Remain",57.6,25.3,28.4,55.4,10.1
"373",373,"L",5434,1582,12415,5276,42.4,62.9,23.7,10.9,53.5,20.9,10.4,5.8,8.7,44.8,174,68.1,34.7,0.29112992270887,"Remain",49.1,29.3,33.1,43.1,18.6
"378",378,"L",6251,1564,13769,5982,42.3,55.1,36.7,8.2,36.4,25,6,7.1,9.5,41.6,89.9,59.3,27.9,0.250199968005119,"Remain",46.7,28.5,42.1,39.3,18.4
"380",380,"L",6384,1697,14396,5372,43.7,47.5,51.1,18.1,14,32.7,7.3,6,8.2,35.2,86.9,62.9,27.6,0.265820802005013,"Remain",44,33,60.2,34.8,17
"382",382,"EE",3361,1489,5269,2212,50.2,93.2,72.4,28.4,14.1,12,2.7,2.8,3.7,49.5,2.8,45,14.1,0.443022909848259,"Remain",32.1,47.4,7.5,39.1,15.4
"386",386,"WM",11402,4891,27864,9335,43.8,22.9,66.5,28.9,11.9,19.7,9.9,7.8,11.5,25.8,40.2,69.1,33.7,0.42895983160849,"Remain",41.9,33.5,113.1,24.6,25
"391",391,"L",4414,2051,11390,3677,46.5,41.3,78.8,27.6,3.4,16.7,6.4,3.8,5.3,42.1,65.7,48.9,18,0.464657906660625,"Remain",36.5,39,91.6,36.4,15.1
"392",392,"Y",4745,2164,15422,4940,41.8,28.1,63.3,30.4,13.8,20,7.4,8.8,15.5,13.9,71.6,79.3,45.2,0.456059009483667,"Remain",42.5,24.6,133.8,12.6,37.3
"395",395,"L",10075,4746,14893,6109,51.6,88,82,34,5.9,10.7,3.4,2.7,3.8,51.1,14.6,45.6,14.5,0.47106699751861,"Remain",31.5,48.1,13.4,38,15.8
"396",396,"L",6761,2739,19200,8178,39.5,51,18.6,4.6,51.9,24.8,10.6,7.8,10.8,34.8,77.6,68.8,31.9,0.405117586155894,"Remain",51.7,22.8,48.8,35.2,19.9
"399",399,"L",7067,3312,13060,5544,49.1,79.2,74.7,31.6,8.1,16,4.5,3.8,5.4,44.5,26.4,53.3,19.7,0.468657138814207,"Remain",35.6,45.2,21.3,35.1,18.7
"402",402,"SE",2529,1155,5275,2104,50.1,91.6,75.8,26.9,9.3,12.8,2,2.3,3.1,49.8,4.5,44.2,14.4,0.456702253855279,"Remain",33.1,45.2,8.3,38.8,16.1
"403",403,"NW",2741,1299,6826,2477,42.5,42.8,59.8,32.6,21.5,16.4,6.3,6.5,10.7,20.1,18.3,69.4,35.7,0.473914629697191,"Remain",41.9,27.5,102.1,17.5,31.9
"404",404,"L",5447,1175,12110,5882,39.6,69.5,32.2,14.1,24,42.2,6.8,4.2,5.4,61.2,139.9,57.6,22.7,0.215715072516982,"Remain",61.2,25,29.6,60.6,9.5
"406",406,"WM",13643,6064,26539,9559,47.6,55.8,79.2,30.8,5.5,13.9,5.2,5,7.4,33.2,53.4,58.8,25.6,0.444477021183024,"Remain",35.7,39.3,72.6,27.3,23
"407",407,"L",6732,2425,15225,5815,45,64.6,64.1,24.9,7.5,26.1,7.2,5,7.1,36.2,80.4,61.5,27.7,0.360219845513963,"Remain",42.4,36.4,34.9,33.5,20.6
"414",414,"L",5528,1687,13324,4985,41.7,48.2,43,13.6,21.8,33,7.5,6.1,8.4,34.2,136.9,61.9,29.1,0.305173661360347,"Remain",49,26.4,59.2,33.6,20.4
"415",415,"NW",7541,3399,14046,6202,50.3,98.1,79.5,29.8,8.3,11.1,3.1,4.1,6.1,29.2,27.5,58.9,27.1,0.45073597666092,"Remain",31.7,48.8,1.8,20.3,25.6
"416",416,"L",6613,1354,12578,5073,40.7,59.5,36,11.5,38.8,23.8,6.5,5.7,7.3,48.5,119.2,55.4,25.6,0.204748223196734,"Remain",51.6,26.1,38.4,47.8,14.2
"417",417,"L",5341,1624,14077,5881,43.1,68.5,47.3,19.8,13.5,37.3,6.1,4.5,5.9,54.2,67.5,51.2,20,0.304062909567497,"Remain",49.7,33.2,33,52.6,10.8
"418",418,"L",6507,1393,14202,6092,40,47.3,22.1,5.1,52.3,24.2,9.8,7.4,10.1,41.1,128.9,65.8,32,0.214077147687106,"Remain",52,27.8,48,41.3,16
"420",420,"NW",6360,3103,10007,4373,51.7,97.5,83.3,37.1,5.1,10.5,2.9,2.3,3.2,48.5,3.1,45.8,16.4,0.487893081761006,"Remain",29,51.7,2.9,39.7,15.3
"425",425,"NW",8356,2678,13544,5765,49.7,88.6,78.5,31.3,6.9,13.9,4,3.5,4.7,49.5,37.9,49.4,19,0.320488271900431,"Remain",33.9,45.2,15.6,41.9,16.6
"432",432,"SE",8450,1922,15754,7988,44.3,88.2,51.2,17.8,5.7,41.2,5.7,3.7,4.7,52.4,114.2,54.4,22,0.227455621301775,"Remain",50.8,34,9.8,49.2,11.9
"433",433,"L",5059,1478,15626,6155,44.8,56.9,51.6,24.5,5,41,6,4,5.5,50.6,48.9,52.7,17.3,0.29215259932793,"Remain",45.2,34,41.8,50.8,9.2
"436",436,"EE",1403,607,2100,842,51.4,97,69.1,32.2,12.8,15.2,3.4,1.9,2.6,51.2,0.3,42.1,12.6,0.432644333570919,"Remain",27,51,2.1,39.3,13.4
"437",437,"L",7133,1496,15095,6600,37.1,59.6,24.1,7,36.6,38,7.2,5.5,6.8,51.5,181.5,59.5,26.2,0.20972942660872,"Remain",64.1,22.1,37.3,52.9,13.3
"438",438,"L",4477,1632,15736,5620,41.6,35.2,44.2,14.8,16.2,37.5,9.3,7,10.2,24.2,61,72,35.7,0.364529819075274,"Remain",47.1,26.7,80.6,26.6,23
"439",439,"L",8985,3946,14413,5979,41.7,66.1,38.1,13.2,37.2,19.6,11.8,4.7,6.6,39.1,46.9,63.6,28.5,0.439176405119644,"Remain",49.5,30.9,35.4,35.3,17.2
"440",440,"SE",7268,2008,15086,8015,43.5,87.6,36.3,12.5,23.5,37.8,12.6,4.6,6.7,43,127.1,67.4,34.4,0.276279581728123,"Remain",51,35.9,11.7,39.3,18.2
"450",450,"EE",4077,1717,6252,2545,51.7,95.1,76.1,30.3,13.1,9.3,2.3,2.2,3.1,50.4,1.3,44.8,16.1,0.421142997301938,"Remain",29.6,47.8,5.5,41.6,16.2
"453",453,"EE",4749,1642,9948,4123,42.3,83.1,40.3,14,36.2,21.7,8.6,3.8,5.1,38.2,25.8,55.2,24.9,0.345757001473995,"Remain",48.2,30.5,15.9,36.2,20.2
"455",455,"L",5079,2487,11522,4338,44.2,52.5,40,11.2,36.9,20.7,7.1,6.3,9.1,25,39.4,70.9,34.4,0.489663319551093,"Remain",41.5,32.4,50.3,23.3,24.5
"456",456,"L",4879,1887,12661,4362,41.6,41.3,50.6,20.2,11.6,35.8,10.1,5.4,7.9,31.3,65.4,66.3,30.3,0.386759581881533,"Remain",48.4,29.1,78.6,33.3,19.3
"464",464,"L",4946,2254,11287,4243,42.9,42.6,46.3,13.6,25,26.2,8.3,6.2,8.8,25.4,101.3,69.1,32.6,0.455721795390214,"Remain",43.8,30.5,61.4,25.3,21
"465",465,"L",4936,2122,9287,3464,47.8,74.6,78,31.1,5.1,15.7,5.3,3.2,4.4,41.8,42.8,51.4,18.8,0.429902755267423,"Remain",36.5,43.1,30.8,35.2,17
"470",470,"WM",10065,3817,34078,9266,41.5,14.5,60.7,27,16.1,20.5,9.1,9.5,17.9,12.8,82.8,80.2,45.9,0.379234972677596,"Remain",40.3,22.3,134.3,13.3,38.6
"471",471,"L",6191,2909,13968,4318,44,17.9,50.6,21.4,24.4,22.2,9.3,6.1,9.5,22.9,63.4,76.5,40.4,0.469875625908577,"Remain",41.7,32.9,116.7,24.4,23.5
"473",473,"Y",5565,2643,21637,6747,40.6,28.8,55.5,25.4,21.7,20.1,7.2,9.6,16.8,11.8,76.3,81.7,46.2,0.474932614555256,"Remain",42,22.2,118.1,12.8,38.3
"475",475,"L",4259,1831,11276,4372,51,56.7,64.4,29.4,15.2,18.7,4.9,4,5.9,43.1,26,57.1,23.9,0.429913125146748,"Remain",33.7,46.2,60.4,35.3,19.7
"478",478,"L",5180,1141,12954,5884,43.1,67.6,39.8,20.1,18.4,39.4,7.4,3.5,4.8,63.3,105.7,51.9,17.9,0.22027027027027,"Remain",51.3,30.8,32.8,60.4,9
"480",480,"EE",4475,1559,7269,2655,49.5,92.2,85.3,30.4,6.4,7.6,3,2,2.7,62.8,22.6,33.7,8.9,0.348379888268156,"Remain",30.6,41,8.2,53,8.9
"481",481,"EE",6017,2167,9257,4190,54.2,95.6,79,35.8,9,11.3,2,3.2,4.8,32.1,36,61.9,28.8,0.360146252285192,"Remain",27.2,54.7,4,18.6,29.9
"482",482,"WM",9027,3010,24528,9041,38.2,57.8,45.5,21.2,19.4,32.1,32.8,4.5,7.9,48.6,29,56.4,23.8,0.33344411210812,"Remain",57.2,28.5,54.8,37,12.2
"484",484,"SE",8763,1791,16073,6528,37.3,89.7,46.1,13.3,11.8,40.8,25.8,3.5,5,46.5,116.9,52.1,21.6,0.204382060938035,"Remain",59.5,24.2,9.1,40.8,11.4
"486",486,"EE",3565,1427,4975,2107,49.1,94.3,80.8,30,7.8,10.7,2.7,2.4,3.1,50.3,3.8,43.6,13.7,0.400280504908836,"Remain",33.6,45.5,6,41.7,13
"489",489,"L",6202,3043,14640,4099,41.3,8.6,50.8,20.3,12.8,33.3,11.9,6.9,10.6,17.6,94.7,81.1,44.2,0.490648178007094,"Remain",46.3,28.6,142.4,21.6,23.6
"491",491,"L",5101,1152,12755,6156,43.7,72.2,42,22.7,21.1,35.3,5.9,3.8,5,63.8,167.7,51.8,19,0.225838070966477,"Remain",49.8,31.7,26.8,62.2,8.4
"492",492,"L",4727,1839,13856,5009,39.8,43,36.1,10.8,26.3,35.9,14.1,7.1,10.1,27.9,165.3,69.8,33.4,0.389041675481278,"Remain",50.6,25.6,62.8,30.5,19.2
"493",493,"NW",6667,2160,14253,8093,34.9,80.2,18.9,4.6,26.7,52.8,13,5,6.5,44,37.9,65,22.6,0.323983800809959,"Remain",70.6,18.5,20.7,45.5,15.7
"495",495,"L",5031,2295,10330,3694,44.8,43.6,60.2,17,23.4,14.8,7.2,6.1,8.5,26,49,65.4,28.3,0.456171735241503,"Remain",37.1,35,60.1,23.4,21.7
"496",496,"EE",1714,853,2619,1044,51.6,97,72.2,31.1,14,9.9,2.7,1.8,2.4,46.8,0.4,43.1,13.3,0.497666277712952,"Remain",28,49.1,3.2,36.7,15.4
"497",497,"EE",5841,2816,10125,4627,46.8,95.4,73.3,24,0.9,25,1.9,3.2,4.1,46.9,68.6,45.6,15.3,0.48210922787194,"Remain",40.8,37.7,4.4,34.1,14.6
"500",500,"Y",5629,2122,19997,5353,40.8,14.3,75.5,30.5,4.3,18.4,8.5,7.6,13.7,16.2,81.9,76.6,40.8,0.376976372357435,"Remain",43.6,22.8,159.4,17.3,34.9
"501",501,"EE",2427,1158,3773,1534,52.9,96.7,86,36.2,5.1,7,2.6,2.4,3.3,47.3,2.2,44.2,13.2,0.477132262051916,"Remain",25.7,51.9,3.3,37.7,14.7
"506",506,"WM",6912,3387,13060,4831,50.4,53.3,84.8,40.3,2.7,11.6,4.5,4.2,6.3,41.2,28.9,55.1,20.1,0.490017361111111,"Remain",32.2,45.6,75.6,34.1,21.4
"508",508,"L",5908,1501,14321,6754,41.6,56.6,25,8.7,49.2,21.3,8.5,5.9,7.9,48.1,138.1,63.7,28.2,0.254062288422478,"Remain",51.1,30.2,40.2,46.5,16.3
"513",513,"EE",3118,1235,2473,1000,48.3,95.4,79.4,26.8,7.7,10.9,2,1.7,2.1,47.4,1.5,42.2,13.9,0.396087235407312,"Remain",34.3,42.9,4.3,37.9,14.9
"514",514,"SE",8535,2411,14512,6334,48.6,90.7,75.7,28.6,2.9,20.1,4.3,2.9,3.8,53.8,18.3,45.3,15.5,0.282483889865261,"Remain",36.1,42.5,8.6,46.6,11.9
"516",516,"NW",8974,4102,13940,5980,51.1,98.5,82.6,31.8,8.3,8.4,3.3,3.4,5,32.2,18.4,55.9,24.5,0.457098283931357,"Remain",31.3,49,1.5,23.6,22.2
"518",518,"EE",4551,1695,7723,2919,48.8,92.7,74.9,26.7,13.6,10.3,3.1,2.5,3.4,56,29.8,39.1,13,0.372445616348055,"Remain",32.5,39,6.9,47,12.3
"519",519,"L",7910,3741,13955,3980,43.9,16.5,68.2,26.6,6.6,23.5,9.3,5.3,7.7,24.2,93,71,33.1,0.472945638432364,"Remain",42,34.8,125.7,25.4,19.8
"521",521,"L",8315,4071,15232,5406,40.5,29.3,38.1,16.7,12.9,44.1,11.8,4.9,6.6,35.2,90,70.1,29.6,0.48959711365003,"Remain",54.1,25.7,111,42.8,12.8
"522",522,"WM",5430,2486,12345,5394,45.3,57.3,58.1,26.8,11.2,29.2,8.4,7.8,11.1,35.6,36,61.5,26.9,0.457826887661142,"Remain",43.9,38.6,60.2,33.8,19.8
"523",523,"L",7783,3738,12830,4889,50.9,80.5,85.4,32.5,6.7,7.1,3.5,3.2,4.5,46.4,20.7,46.9,14.8,0.480277527945522,"Remain",29.2,48,24.1,35,15.1
"526",526,"SE",7453,2885,14142,6588,44.9,88.9,32.6,11.8,44.8,20.4,6.7,5.7,8.7,33.3,35.7,67.8,35.5,0.387092445994901,"Remain",42.5,36.6,9.8,29.5,25.6
"527",527,"L",6786,2775,13845,5237,48.3,73.7,69.4,30.7,10,18.9,9.7,4.2,6.3,42.8,13.6,54.7,22.4,0.408930150309461,"Remain",36.8,43.7,28.6,35,19
"533",533,"WM",11893,4049,23097,9980,44.4,65.6,56.7,24,11.9,29.3,11.8,4.8,6.8,52.4,44.2,51,21.8,0.340452366938535,"Remain",46.3,35.1,45.8,48.7,16.9
"535",535,"WM",11164,3936,31522,9348,42.4,21.2,65.9,30.8,10,21.8,8.8,7.4,13.1,19.2,71.4,73.2,38.7,0.352561805804371,"Remain",41.6,26.3,132.1,19.7,32.1
"536",536,"L",10192,4030,15625,6930,45.6,79.4,70.5,20,10.7,16.7,3.1,4.3,5.5,47.8,70.7,49,19.5,0.395408163265306,"Remain",41.9,36,20.7,38.3,15.2
"538",538,"EM",5256,2580,10747,4206,47.7,54.9,65.5,25.4,15.2,16.9,6.8,5.6,8.9,23.8,36.3,67.7,32.1,0.490867579908676,"Remain",36.6,38.3,67.2,20,30.4
"539",539,"L",5431,1471,14574,5578,40.7,56.8,35.1,12.6,24.3,38.3,9.5,6.2,8.8,29.9,100.2,69.9,35.1,0.270852513349291,"Remain",51.7,26.8,40.7,32.9,20
"542",542,"EE",2920,1321,9180,3934,43.9,82.5,39.5,13.4,37.9,18.9,6.4,4.8,6.4,32.7,59.9,59.6,25.6,0.452397260273973,"Remain",46.3,33.7,19,31.5,22.1
"544",544,"L",4643,1263,9014,4269,44.3,78.3,51.2,24.6,6.6,40.6,4,2.7,3.4,68.7,78.1,41.1,12.5,0.27202239931079,"Remain",51,34,24.4,64.6,6.4
"545",545,"EE",5322,1621,9444,4055,44.7,85.9,36.1,15.6,38.9,22,7.3,3.7,5,45.3,37.1,55.9,22.3,0.304584742577978,"Remain",46.2,34.6,13.3,42.7,18.7
"547",547,"SE",2052,817,4299,1921,53,93.3,75.8,37.3,5.2,17.1,2.3,2,2.9,53.1,6.9,46.5,14.4,0.398148148148148,"Remain",28.9,52.1,6.6,43.4,14
"548",548,"L",5976,2882,16600,6111,43.4,41.1,42.2,14.7,26.5,28.1,8.4,7.5,11.8,21.5,92,73.3,38.2,0.482262382864793,"Remain",39.5,29.7,53.9,20,28.5
"551",551,"Y",7195,2836,21298,5780,40.4,17.3,67.2,31.2,13,17.5,8.3,8.4,15.6,11.4,76.9,80.6,46.3,0.394162612925643,"Remain",42.1,21.3,149.1,12.2,39
"552",552,"L",7821,3666,9865,4203,51.1,84.4,82.4,35,4.5,12.4,3.1,2.8,3.9,54.9,41.2,45.2,13.7,0.468738013041811,"Remain",30.9,47.9,17,43.3,12.1
"554",554,"NW",4146,1930,11351,4299,42.2,38.9,53.5,21.7,27.2,16.3,6.6,8.9,15.8,13.7,56.4,79.9,48.9,0.465508924264351,"Remain",43.2,27.9,91,13.8,37.2
"555",555,"L",6609,3177,14566,5544,43.5,63.8,52.6,14.7,23.7,22.2,6.7,6.2,9,30.4,52.2,64.6,30.6,0.480708125283704,"Remain",41.4,30.6,32.1,25.4,24.6
"560",560,"L",6287,1134,12905,5438,38.6,75.7,43.2,16.3,21.3,34.4,5.4,3.8,4.6,64.3,98.6,47.3,17.5,0.180372196596151,"Remain",60.2,23,23.3,63.3,8.3
"562",562,"L",6977,1459,14611,6214,40.1,61.1,40.7,12.9,12.9,44.9,6.2,5.4,6.8,45.8,103.4,59.7,24.8,0.209115665758922,"Remain",55.5,25.9,41.4,46.3,12.6
"564",564,"EE",5944,2355,9975,4886,41.3,92.5,49.5,15.2,16.6,32.3,4.8,4.7,6,33.2,75.9,49.3,20.4,0.396197846567968,"Remain",53.6,29.1,6.9,28.8,18.3
"566",566,"L",7340,2486,16149,6524,44.6,48.7,56.6,17.4,20,21.4,6.7,6,8.3,38.1,63.2,58.5,23.2,0.338692098092643,"Remain",41.3,35.4,56.7,35.2,16.6
"567",567,"L",7544,1518,17315,7194,37.6,56.7,22.9,7.1,42.3,32.2,8.4,6,7.7,48.4,167.8,63.1,26.9,0.201219512195122,"Remain",59.8,21.7,40.2,48.5,13.9
"572",572,"L",4902,2165,11455,3960,45.6,54.9,72.3,25.1,4.7,21.6,6.4,4,5.4,37.7,65.5,56.8,22.2,0.441656466748266,"Remain",39.9,37.8,65.3,32.9,15.7
"575",575,"NW",3171,1461,6022,2193,50,62.6,91,40.9,1.1,6.5,4.3,2.1,3.1,43.8,13,46.4,12.7,0.46073793755913,"Remain",30.9,45.9,67,37.4,16.4
"577",577,"NW",8288,3141,12021,4907,54.4,95.1,93.1,41.5,1.3,4.9,2.9,2,2.9,56,13.1,41,10.5,0.37898166023166,"Remain",24.4,54.7,6.1,44.7,11.8
"579",579,"L",5407,1831,12712,5697,41.6,69,40.4,11.7,30.2,26.8,6,6.3,8.3,51.3,123.5,60,26.5,0.33863510264472,"Remain",51.4,28.6,27.2,51.5,13.8
"587",587,"L",5733,1902,12933,4850,40.3,52.4,45.5,17.4,14.4,37.9,9.5,6.1,8.1,40.9,101.2,61.4,25,0.331763474620618,"Remain",54,27.2,58.8,40.8,15.1
"588",588,"L",7901,3351,11181,4041,44.8,43.5,64.3,23.9,6.7,27.3,7.2,4.5,6.2,44.8,78.5,56.8,22,0.424123528667257,"Remain",41.7,35.5,80.1,43,13.1
"591",591,"L",5992,1670,12122,5729,41.6,71.8,27.5,11.1,47.8,21.7,6.4,5.6,7.8,50.4,154,62.5,30.3,0.278704939919893,"Remain",51.8,29.1,24.5,47.3,19.2
"595",595,"L",4773,1693,9857,3473,42.9,42.5,57.2,21.7,3.7,37.9,8.8,4.8,6.5,31.5,114.4,60.7,25.5,0.354703540750052,"Remain",47.3,32.1,68.3,32.1,15.8
"600",600,"L",6678,2554,14514,5934,45.7,68.4,60.5,25.6,7.6,29.7,7.4,4.7,6.5,45.8,55.3,53.4,20.1,0.382449835280024,"Remain",43.1,35.8,32.3,41.2,16.1
"601",601,"L",4898,993,11317,5222,47.3,80,53.3,33.2,11.4,33.2,4.5,2.7,3.6,72.6,47.4,47.2,13.3,0.202735810534912,"Remain",42.5,38.6,19.2,68.3,6.1
"604",604,"WM",9789,3469,31203,9572,41,10.8,50,25.6,29.1,17.8,11.3,11.1,19.3,14.5,92,78.7,44,0.35437736234549,"Remain",43.8,24.4,126.5,16.3,34.3
"607",607,"L",4442,1212,8526,3485,50.8,82.9,71.7,40.8,3.5,22.4,3.7,2,3,68.3,14.1,34.7,9.2,0.272850067537145,"Remain",31.7,47.3,19.1,62.3,6.8
"609",609,"EE",4111,774,9826,2091,32.2,80.3,58.1,30.6,8.8,31,61,0.9,2.7,65.2,29.6,42.7,11.9,0.188275358793481,"Remain",73.3,19.3,21.7,41.9,3.7
"610",610,"L",6113,2941,14359,5845,44.5,66.4,51,14.8,30.4,16.8,7.1,5.3,7.6,34.8,61.9,63.5,30.4,0.481105840013087,"Remain",42.9,34.1,34.6,30.8,23.7
"612",612,"L",6458,2572,10737,4009,50.6,56.7,74.1,31.2,9.5,14.8,4.2,3.8,5.3,48.3,33.6,51.8,19.5,0.398265716940229,"Remain",31.8,46.7,66.1,41.8,15.4
"613",613,"EE",3458,1655,5455,2171,49.5,96.5,84.2,31.4,8,7.3,2,2.5,3.3,40.4,18.5,44.4,13.6,0.4786003470214,"Remain",33.2,44.4,3.1,30.6,18.2
"614",614,"L",4785,1405,13487,4840,43,47.5,27.9,7.5,49.2,20.1,8.6,7.8,12.7,21.1,81.5,77.6,43.2,0.29362591431557,"Remain",39.7,29.4,46.1,20.7,30
"617",617,"NW",5849,2799,9639,3897,48.6,93.1,88.1,31.2,2.4,8.9,3.2,2.2,2.9,48.2,9.5,42.5,14,0.478543340742007,"Remain",33.5,44.1,9.1,34.9,15.9
"618",618,"L",5643,1883,13875,5611,40.1,51,12.3,4.8,62.9,21.6,19.4,5.7,9.8,31.9,101.6,75.6,40.3,0.333687754740386,"Remain",51.1,26.9,44.9,29.5,22.7
"619",619,"WM",14296,6003,26046,11317,47.8,84,61.9,21.8,21.1,15,4.8,5.1,7.2,40.8,41.1,56.5,26,0.419907666480134,"Remain",37.1,41.1,18.5,34.5,22.8
"622",622,"L",6433,1334,13473,5817,41.1,71.6,34.4,15.1,33.8,29.7,9.5,4.2,5.8,55.1,134.5,61.4,25.7,0.207368257422664,"Remain",53.7,28.8,25.6,54.6,13.6
"623",623,"WM",3498,1742,5662,2160,43.7,93.2,77.6,17.1,5.5,16.3,3.2,2.6,3.1,47.6,25.3,35.2,8.4,0.497998856489423,"Remain",41,32.5,9.9,37.2,10.5
"631",631,"EE",3837,1116,9108,3902,44.7,82.3,46.7,23.1,27.4,23.9,11,4.4,6.2,42.1,62.5,56.2,23,0.290852228303362,"Remain",46,36.1,17.4,42.6,18.1
"637",637,"SE",8901,1638,14973,6524,42.5,91,63.8,19.2,4.4,29.6,9.1,3.1,3.9,56.3,92,45.4,16.3,0.184024266936299,"Remain",47.9,31.5,8.5,53.1,9.1
"639",639,"EE",3800,1574,6642,2693,48.2,78.9,64.7,27.6,22.7,11.5,4.2,4.1,5.7,46,28.8,51.6,20.4,0.414210526315789,"Remain",37.3,41,22.8,38.6,17.3
"642",642,"L",5786,2001,14109,5530,42.7,61.4,54.4,22.8,10.3,33.6,7.5,5.6,7.5,36.8,97.4,63,29.4,0.345834773591428,"Remain",48.5,32.1,39.7,36.3,16.7
"643",643,"L",4607,1730,14699,5465,40.3,54.3,33.7,13.6,23.8,39.5,10.3,6.2,8.9,32.3,137.4,70.7,36.3,0.375515519861081,"Remain",53.8,26,41.3,35.2,20.4
"645",645,"L",8467,3898,15185,6556,47.6,80.7,67.6,23.8,15.2,15.8,3.4,4.5,6.1,43.7,38.9,53.1,22,0.460375575764734,"Remain",38.2,39.8,19.7,34.1,18.6
"647",647,"L",6934,2629,16608,6598,44.1,32.9,53.5,14.6,19,25.7,8.1,7.3,10.1,31.2,101.3,63.6,28.9,0.379146235938852,"Remain",38.8,33.1,70.9,28.3,18.7
"648",648,"NW",8460,2936,14024,6028,48.2,82.8,81.1,31.3,5.5,12.3,4.1,3.4,4.6,48.1,37.1,46.5,17.4,0.347044917257683,"Remain",35.5,43,24.7,41.8,15.1
"649",649,"EM",7560,2769,15478,6679,45.4,79.4,59,21.5,17.9,21.8,4.6,5.5,7.7,37.8,49.7,55.2,24.9,0.366269841269841,"Remain",43.7,37.1,24.2,35,22.1
"650",650,"L",9562,4377,10454,3944,49.7,59.4,81.8,32,5.3,11.9,4.1,3.2,4.4,53.4,45.5,43.6,13.6,0.457749424806526,"Remain",32.3,43.6,59.8,47.5,11.4
"651",651,"L",4493,1796,10135,3585,48.5,47.4,80.1,32.7,3.2,15.2,5.6,3.3,4.6,49.2,31.5,48.8,15.9,0.399732917872246,"Remain",34.9,44.1,79.5,43.6,12.9
"653",653,"NW",2116,1052,2119,843,48.7,98.6,89.6,33.8,1.4,7.8,2.2,1.6,2,31.7,42,46.5,13.1,0.497164461247637,"Remain",32.3,44.8,1.1,25.4,16.4
"654",654,"NW",8183,3266,12328,5052,53.6,97.6,88.1,41.6,4.2,6.9,2.6,2.4,3.5,51.4,5.4,43.7,13.8,0.399120127092753,"Remain",25.2,55,2.3,43.1,14.7
"655",655,"Y",8391,3099,14871,6411,54.8,97.3,82.2,38.3,5,11.4,2.4,2.2,3.1,57,8,42.1,12.7,0.369324276010011,"Remain",25.4,53.6,2.9,50.1,13.8
"659",659,"L",6332,2751,17562,6133,43.2,23.5,53.2,17.7,14.8,29,9.6,6.3,9.2,27.8,91.2,68.2,30.7,0.434459886291851,"Remain",40.8,31,96.6,27.3,17.9
"661",661,"L",4039,1994,12339,3912,43.4,23.4,56,20.3,16,26,9.6,5.2,7.5,28.7,75.1,69.1,31.5,0.493686556078237,"Remain",44.8,31.7,119.5,32,17.3
"663",663,"EE",5014,1577,8524,3820,43.6,79.3,65.1,21,10.2,22,3.7,4.2,5.2,49,22.9,46.3,15.8,0.314519345831671,"Remain",46.8,32.6,25.7,43.7,13.1
"664",664,"SW",3955,1740,11195,3710,30.5,90,20.9,8.6,8.4,69.8,58,2.5,5.3,30.9,131.7,60.8,23.2,0.439949431099874,"Remain",77.3,16.3,9.5,21.2,8.5
"665",665,"Y",6552,3253,12765,5508,49.4,84,77.6,31.7,3.6,17.6,3.4,3.3,4.6,44.9,35.3,49.6,17.8,0.496489621489622,"Remain",34.9,43.9,27.1,35.6,17.2
"668",668,"L",10746,5351,14946,5738,51.7,89.4,88.9,34.1,2.7,7.2,3.1,2.5,3.5,46.5,34.7,45.5,14.8,0.497952726595943,"Remain",27.6,49.5,11.6,32.5,15.2
"671",671,"L",5962,1802,14619,5738,45.6,63.1,54.2,20.9,21.5,22.3,6.2,4.9,7,48.5,67.1,54.6,23.3,0.302247567930225,"Remain",39.6,36.2,36.9,46.2,13.1
"676",676,"L",6878,1559,11843,5090,42.3,66.3,33.7,11.3,44.3,20.4,7.2,6.3,9.1,44.2,147.3,62.6,30.1,0.226664728118639,"Remain",47.7,30.9,30,43.7,17.9
"677",677,"L",5049,1498,9715,4589,39.5,58,19,8.5,44.3,33.9,17.7,4.9,7.1,51.8,80.5,59.2,23.8,0.296692414339473,"Remain",57.4,29.8,39.9,47.2,14.5
"680",680,"SE",6312,2754,12732,6258,42.2,85.7,43,16.5,6.6,48.5,17,3.8,5.4,46.6,82.7,53.1,19.5,0.436311787072243,"Remain",53.8,33.8,13.9,39.2,13.3
